iter,current_best,gbest_value
765,16.8776110781,15.6475260088
766,16.3334252462,15.6475260088
767,15.7358469118,15.6475260088
768,15.8451966403,15.6475260088
769,15.9296913225,15.6475260088
770,16.7869589826,15.6475260088
771,15.6344649595,15.6344649595
772,16.4666836767,15.6344649595
773,16.7185314848,15.6344649595
774,16.0124350764,15.6344649595
775,16.0597230387,15.6344649595
776,16.2780657589,15.6344649595
777,15.8029239988,15.6344649595
778,15.6634883244,15.6344649595
779,15.7996986904,15.6344649595
780,16.2572832115,15.6344649595
781,15.4629472139,15.4629472139
782,15.3530642446,15.3530642446
783,15.6015327996,15.3530642446
784,15.4236296187,15.3530642446
785,15.3322858639,15.3322858639
786,15.3723604550,15.3322858639
787,15.3511485978,15.3322858639
788,15.3708827986,15.3322858639
789,15.3134830829,15.3134830829
790,15.2935513822,15.2935513822
791,15.2942383875,15.2935513822
792,15.3093122401,15.2935513822
793,15.3211386027,15.2935513822
794,15.2715481608,15.2715481608
795,14.9349891300,14.9349891300
796,14.7279180624,14.7279180624
797,14.7343964381,14.7279180624
798,14.9830580160,14.7279180624
799,15.3076653761,14.7279180624
800,14.7731650170,14.7279180624
801,14.5203178555,14.5203178555
802,14.8682123435,14.5203178555
803,14.6296338417,14.5203178555
804,14.5277614767,14.5203178555
805,14.4856530670,14.4856530670
806,14.4897614037,14.4856530670
807,14.5488597796,14.4856530670
808,14.2047963745,14.2047963745
809,14.2383839853,14.2047963745
810,14.3495678523,14.2047963745
811,14.1361459139,14.1361459139
812,14.2349111380,14.1361459139
813,13.0643826496,13.0643826496
814,12.6080112840,12.6080112840
815,12.2965846613,12.2965846613
816,13.1376160082,12.2965846613
817,12.8401889388,12.2965846613
818,12.9516634798,12.2965846613
819,13.6026977741,12.2965846613
820,12.7637036853,12.2965846613
821,12.7462219911,12.2965846613
822,12.5040430359,12.2965846613
823,13.2132345821,12.2965846613
824,13.0690123494,12.2965846613
825,12.0623130126,12.0623130126
826,13.0319947843,12.0623130126
827,11.6357535941,11.6357535941
828,11.6688553860,11.6357535941
829,12.0132808284,11.6357535941
830,12.8355763344,11.6357535941
831,11.5442183471,11.5442183471
832,11.2885182393,11.2885182393
833,11.6753896234,11.2885182393
834,11.3023367267,11.2885182393
835,11.4461811203,11.2885182393
836,12.0619538180,11.2885182393
837,11.7433193186,11.2885182393
838,11.5973231607,11.2885182393
839,10.8511510146,10.8511510146
840,11.5205482843,10.8511510146
841,11.3892665062,10.8511510146
842,11.4594001755,10.8511510146
843,12.0430422871,10.8511510146
844,10.9845029074,10.8511510146
845,11.3347229308,10.8511510146
846,11.0441620189,10.8511510146
847,11.4952722260,10.8511510146
848,11.3258962254,10.8511510146
849,10.9574476395,10.8511510146
850,11.9304621888,10.8511510146
851,11.2755755924,10.8511510146
852,10.8994643707,10.8511510146
853,11.5775986395,10.8511510146
854,10.7431190055,10.7431190055
855,11.4424002049,10.7431190055
856,11.1067907353,10.7431190055
857,10.6872106319,10.6872106319
858,11.5975606666,10.6872106319
859,11.0329184775,10.6872106319
860,10.9217096478,10.6872106319
861,10.6299379435,10.6299379435
862,11.0590489513,10.6299379435
863,10.9992381776,10.6299379435
864,10.7472936982,10.6299379435
865,10.4976619029,10.4976619029
866,10.3403419076,10.3403419076
867,10.2416125936,10.2416125936
868,10.1799902190,10.1799902190
869,10.1418034084,10.1418034084
